url,name,status,kind,reason,startup,ratio,kbps,declared_kbps,n_variants,res,target,window,endlist,attempts_a,attempts_b,score,channel,cc
https://jmp2.uk/plu-62ba60f059624e000781c436.m3u8,00s Replay,OK,hls,,0.55,20.28,1805,3063,3,,5,25.0,0,1,1,89.8,00sReplay.us,us
http://158.101.222.193:88/georgia_play.php?id=1plus1international,1+1 International,DEAD,,connect,,,,,,,,,,2,0,0.0,1Plus1International.ua,ua
https://dash2.antik.sk/live/test_one_plus_one_int_tizen/playlist.m3u8,1+1 International HD (720p),OK,hls,,1.74,4.43,2561,,1,,6,49.9,0,1,1,50.8,1Plus1International.ua,ua
https://dash2.antik.sk/live/1plus1_marathon/playlist.m3u8,1+1 Marafon (1080p),OK,hls,,1.64,3.18,3246,,1,,6,49.7,0,1,1,49.4,1Plus1Marafon.ua,ua
http://stream.mcquack.net/219/index.m3u8,1+1 Ukraina (1080p),OK,hls,,2.13,3.37,3768,3830,1,1920x1080,5,20.0,0,1,1,46.6,1Plus1Ukraina.ua,ua
https://123tv-mx1.flex-cdn.net/index.m3u8,1-2-3 TV (270p),DEAD,hls,media_timeout,,,,921,5,720x480,,,,1,1,15.6,123tv.de,de
https://d3472rjicrodic.cloudfront.net/nlpo/clr-nlpo/709d5260/index.m3u8,1Almere TV (720p),OK,hls,,0.83,16.72,2749,3000,5,1280x720,6,144.0,0,1,1,89.3,1AlmereTV.nl,nl
https://stream8.cinerama.uz/1267/tracks-v1a1/mono.m3u8,1HD Music Television (1080p),OK,hls,,3.38,2.63,1680,,1,,8,43.8,0,1,1,21.7,1HDMusicTelevision.ru,ru
https://cdn.freevisiontv.co.za/sttv/smil:1kzn.stream.smil/playlist.m3u8,1KZN TV (576p),OK,hls,,1.41,2.27,1669,1550,3,720x576,3,24.0,0,1,2,62.2,1KZNTV.za,za
https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8,1TV (720p),OK,hls,,1.79,5.41,1648,1620,1,1280x720,6,24.0,0,1,1,57.1,1TV.ge,ge
https://ms7.mx-cd.net/dtv-11/198-989148/1Twente_TV.smil/chunklist_w954512639_b4292608_slNLD.m3u8,1Twente TV (1080p),OK,hls,,2.08,6.42,4911,,1,,12,31.0,0,1,1,48.9,1TwenteTV.nl,nl
http://stream.mcquack.net/173/index.m3u8,2+2 (1080p),OK,hls,,2.23,3.03,3792,3920,1,1920x1080,5,20.0,0,1,1,44.1,2Plus2.ua,ua
https://lowa8026-cmyk.github.io/Ukraine/Edyni_Novyny/2Plus2Marafon.m3u8,2+2 Marathon (1080p),OK,hls,,0.38,49.01,2493,9243,5,1920x1080,6,64.8,0,1,1,104.3,2Plus2Marathon.ua,ua
https://2gblive.akamaized.net/hls/live/2033805/2GB/index.m3u8,2GB Sydney (1080p),DEAD,hls,media_http_404,,,,8500,6,1920x1080,,,,1,1,20.0,2GB.au,au
http://185.9.2.18/chid_218/index.m3u8,2M,OK,hls,,1.73,4.35,3901,3920,1,1024x576,6,21.4,0,1,1,51.0,2M.ma,ma
https://cdn-globecast.akamaized.net/live/eds/2m_monde/hls_video_ts_tuhawxpiemz257adfc/2m_monde.m3u8,2M Monde (360p),DEAD,hls,media_oversize,,,,2659,3,1024x576,,,,1,1,16.3,2MMonde.ma,ma
https://d2qh3gh0k5vp3v.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-n6pess5lwbghr/2M_ES.m3u8,2M Monde +1 (1080p),OK,hls,,1.34,28.18,4221,5046,4,1920x1080,6,60.0,0,1,1,88.8,2MMonde.ma,ma
https://tv.cdn.xsg.ge/gpb-2tv/index.m3u8,2TV (720p),OK,hls,,1.69,5.75,1704,1860,1,1280x720,6,24.0,0,1,1,59.1,2TV.ge,ge
https://bl.rutube.ru/livestream/392b4686b770bae2da6bf5ac4574add5/index.m3u8?e=2068731801&s=tenr-yHXUv1wibfka78s2A&scheme=https,2x2 (576i),OK,hls,,2.74,2.81,7762,6800,6,1920x1080,4,48.0,0,1,1,47.8,2x2.ru,ru
https://3abn.bozztv.com/3abncanada/3ABN/master.m3u8,3ABN Canada (720p),OK,hls,,0.94,17.41,2645,2700,3,1280x720,6,60.1,0,1,1,88.0,3ABNCanada.ca,ca
https://3abn.bozztv.com/3abn2/d2d_live/smil:d2d_live.smil/playlist.m3u8,3ABN Dare To Dream Network,OK,hls,,0.97,19.55,1804,1928,3,1280x720,7,36.0,0,1,1,88.5,DareToDreamNetwork.us,us
https://3abn.bozztv.com/3abn2/3abn_live/smil:3abn_live.smil/playlist.m3u8,3ABN English,OK,hls,,0.98,16.16,1637,1628,3,1280x720,8,36.2,0,1,1,86.7,3ABNEnglish.us,us
https://3abn.bozztv.com/3abn2/Fre_live/smil:Fre_live.smil/playlist.m3u8,3ABN French,OK,hls,,1.0,15.03,1757,1928,3,1280x720,8,36.0,0,1,1,85.8,3ABNFrench.us,us
https://3abn.bozztv.com/3abn2/Int_live/smil:Int_live.smil/playlist.m3u8,3ABN International Network (720p),OK,hls,,0.93,20.55,1784,1928,3,1280x720,8,36.0,0,1,1,89.5,3ABNInternational.us,us
https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8,3ABN Kids Network,OK,hls,,0.96,25.81,1794,1928,3,1280x720,7,36.0,0,1,1,91.1,3ABNKids.us,us
https://3abn.bozztv.com/3abn2/Lat_live/smil:Lat_live.smil/playlist.m3u8,3ABN Latino,OK,hls,,0.97,18.97,1798,1928,3,1280x720,7,36.0,0,1,1,88.3,3ABNLatino.us,us
https://3abn.bozztv.com/3abn1/PraiseHim/smil:PraiseHim.smil/playlist.m3u8,3ABN Praise Him Music Network,OK,hls,,0.94,29.32,1809,2128,3,1280x720,11,30.0,0,1,1,92.5,3ABNPraiseHimMusicNetwork.us,us
